id,reviews,stars,yelp_category,state
_id__ab50qdWOk0DdB6XOrBitw,7568,4,Seafood,LA
_id_ac1AeYqs8Z4_e2X5M3if2A,7400,4,Seafood,LA
_id_oBNrLz4EDhiscSlbOl8uAw,5193,4.5,American,LA
_id_iSRTaT9WngzB8JJ2YKJUig,5185,3.5,American,LA
_id_VQcCL9PiNL_wkGf-uF3fjg,5070,4,American,LA
_id__C7QiQQc47AOEv4PE3Kong,4876,4.5,American,LA
_id_GBTPC53ZrG1ZBY3DT8Mbcw,4554,4,American,LA
_id_6a4gLLFSgr-Q6CZXDLzBGQ,4421,4,Seafood,LA
_id_VaO-VW3e1kARkU9bP1E7Fw,3966,4,Seafood,LA
_id_qb28j-FNX1_6xm7u372TZA,3902,4,Seafood,LA
_id_gTC8IQ_i8zXytWSly3Ttvg,3837,4.5,Sandwitches,LA
_id_yPSejq3_erxo9zdVYTBnZA,3834,4.5,Mexican,CA
_id_VVH6k9-ycttH3TV_lk5WfQ,3582,4.5,Other,LA
_id_QHWYlmVbLC3K6eglWoHVvA,3260,4,American,FL
_id_DcBLYSvOuWcNReolRVr12A,3160,3.5,Seafood,LA
_id_XnQ84ylyAZwh-XfHGGNBbQ,3157,3.5,Bars,LA
_id_L5LLN0RafiV1Z9cddzvuCw,3064,4,American,FL
_id_U3grYFIeu6RgAAQgdriHww,2940,4,Seafood,CA
_id_dsfRniRgfbDjC8os848B6A,2924,4.5,Steakhouse,FL
_id_3YqUe2FTCQr0pPVK8oCv6Q,2860,4,American,FL
_id_ww3YJXu5c18aGZXWmm00qg,2756,4.5,American,LA
_id_Y2Pfil51rNvTd_lFHwzb_g,2688,4,Sandwitches,LA
_id_skY6r8WAkYqpV7_TxNm23w,2536,4,American,CA
_id_RLlOK2fL6xU1sfIPiP2QBw,2473,3.5,American,LA
_id_9xdXS7jtWjCVzL4_oPGv9A,2443,4.5,Seafood,LA
_id_ChlcxTEoWBQJXJ2Xb2vm5g,2417,4,American,LA
_id_EagkHaaC-kUozD3MPzbRIw,2406,4,Breakfast,LA
_id_mhrW9O0O5hXGXGnEYBVoag,2406,4.5,Seafood,LA
_id_SZU9c8V2GuREDN5KgyHFJw,2404,4,Seafood,CA
_id_6Ty-KKWq6hLZYW8DWEHYvg,2367,4,American,LA
_id_DXDoh8MNrqjtXsZnkuk4hA,2301,4,American,FL
_id_TcNZXteosegb1RO4O5hREw,2160,4.5,Seafood,LA
_id_PGd06nrseC2YAIqP6S9gUA,2159,4,American,LA
_id_BjeHLwKOlHyV6DJgmZxAjA,2137,4,American,LA
_id_vN6v8m4DO45Z4pp8yxxF_w,2084,4.5,Bars,LA
_id_W4ZEKkva9HpAdZG88juwyQ,2064,4,Bars,LA
_id_8uF-bhJFgT4Tn6DTb27viA,2062,4.5,American,LA
_id_75FY8ZQx5nOWP0VFmNvWfw,2037,4.5,American,LA
_id_iwmW2mgcn2YdirXUHCsgXQ,2026,3.5,Seafood,LA
_id_hfbZ97Te3T4jeWN6GgsGrQ,2010,4,American,LA
_id_c-iKAO2GBzSKjm7y1Oljcw,1984,4,Seafood,LA
_id_Zi-F-YvyVOK0k5QD7lrLOg,1963,4,Cajun,LA
_id_V9VLhHdSFpFi4yXFqVcVEA,1926,4,Seafood,LA
_id_Vz2RN55rTJBGn43K1v84nA,1906,4,Italian,LA
_id_U4X-tzwvTzW8uWxs2KIPtg,1886,4,Seafood,LA
_id_FEXhWNCMkv22qG04E83Qjg,1880,4,Coffee & Tea,LA
_id_p_qSQwShIgQnNxGcajI4-w,1868,4.5,American,FL
_id_g04aAvgol7IW8buqSbT4xA,1865,4,Breakfast,LA
_id_e5fCI12X_GLCST668S4ROA,1827,3.5,Breakfast,LA
_id_Ps7Q7BOKzJO4nDTUhbk43Q,1824,4.5,American,FL
_id_GuzbBFraIq-fbkjfvaTRvg,1796,4.5,Mediterranean,CA
_id_fCDMLD21ypv1XZ_EyafCkQ,1772,4.5,American,FL
_id_6RBZfirnzE4NahJTn1UPNA,1759,4,Mexican,CA
_id_t9LiapsQABwMQeiF1Czl6w,1703,4,Burgers,LA
_id_yz0KWVamNhqiZGz7XTClzg,1649,4,American,LA
_id_8UPv1p9GW-BiZtQqUt8nOA,1646,4,Seafood,LA
_id_u7uFQCoHFtBKCtbWUm6yZw,1608,4,American,LA
_id_WXgV2lOUgas7DzTLeDau-w,1599,4,Mexican,LA
_id_ku8cAVBLaF_4rI-yK6gNnQ,1598,4,Cajun,LA
_id_S2Ho8yLxhKAa26pBAm6rxA,1594,4,Seafood,LA
_id_2KIDQyTh-HzLxOUEDqtDBg,1551,4.5,Italian,FL
_id_EtM079Cj7-B3G7jPsGYb_Q,1546,3.5,Mexican,CA
_id_oGDGlUbOjHxmmCh8ZYcDCg,1520,4,American,CA
_id_edJoBsse6nsF0BYh6pATAg,1500,4.5,American,CA
_id_nk96iwJV1_p2HECYQW1ysA,1481,4.5,Bars,LA
_id_KXecZki-_3N7afs6HKWM3A,1466,4,Japanese,FL
_id_24f-qQokEN2UvBNHMWLm3A,1460,3.5,Cajun,LA
_id_3Wy21heeDm8h2tSZfcj6OA,1453,4.5,American,CA
_id_tthy48ZIX_wfY8Dy0Dvg6w,1452,4.5,American,CA
_id_Bj7DL3SwmYHZYqPduAsa2w,1451,3.5,Sandwitches,LA
_id_RqW9S4WG9UYZHKhHRHXJZg,1449,4.5,Mexican,FL
_id_3WU1ZobAqXQ07xYoKE2Vyg,1437,3.5,Seafood,LA
_id_2DTkzhmMpv5fIPKheePClA,1433,4.5,American,LA
_id_nYsNsyIppe_DTueBha1x9A,1427,4,American,FL
_id_l4IeGBHXV2E8S8COd9rx9A,1421,4.5,American,FL
_id_LdECsE8lJS7v5GTFTcjPSg,1398,4,Seafood,FL
_id_59-56qbtgwGigLNNsZiVZQ,1388,4.5,Seafood,FL
_id_8A5LSwsKK5vXDH1M3_Tf1w,1383,3.5,American,CA
_id_1Vo4BLw75ntATAJHYsxO3g,1368,3,American,FL
_id_TV81bpCQ6p6o4Hau5hk-zw,1368,4.5,Bakeries,FL
_id_cE_gYW3CHEducTkEyxTDdA,1368,4,Mexican,FL
_id_IZZ_uR2ps5KuuyE0n--jVA,1352,4,Bars,LA
_id_bp5Mk2d0qofUeF5uLauIbg,1350,4.5,Cajun,LA
_id_UeYZgcORV2Veo_BZzdiaTg,1335,4,American,LA
_id_UGefDZNmnBztS0eoXWtHyQ,1335,4.5,Bars,LA
_id_I3Uy20BKx7G-Fzz6hLIeWg,1326,4.5,American,LA
_id_BbnL_wJLB-EHvFx0dXuAjg,1318,4,Seafood,LA
_id_FaY_9x8ZtsuHe5wS2iJM1Q,1309,4,Sandwitches,LA
_id_EME5hqQLjBD7e2cLryupbA,1306,4.5,Seafood,LA
_id_1jeaxiZOisgDMxHR2K088g,1292,4.5,American,FL
_id_hExi86DTBlmIhB2FLvqrHg,1291,4.5,American,FL
_id_pym7c6ZFEtmoH16xN2ApBg,1289,4.5,American,LA
_id_Rl42JbSMsmNW3LRjsTMYAg,1270,4,Mexican,CA
_id_9HvjjSwxxubIhG6E_sObfQ,1269,4,Seafood,LA
_id_FEBwxZMEpxRwVXx9Fm0XZw,1268,4,American,CA
_id_0d1dpaZqcm7litFOJl7atA,1259,4.5,American,FL
_id_XuQ5ekbJ9eRUX06JTqJHaQ,1257,4.5,American,FL
_id_QaFbv7aLQBcfT4xMF1_WnQ,1246,4.5,Pizza,CA
_id_SJIQFKTW6uUsOo29w9IHxw,1223,4,Seafood,LA
_id_9ugpNKKhnYRa51qXoxUw_A,1219,4.5,Mexican,CA
_id_fVUurZgbWXzp2QzDzJzmpA,1213,4.5,Sandwitches,CA
_id_DKtAKuOjI6vUAHhW4NR5UA,1210,3,Seafood,LA
_id_GmXC3CBu172Bkb0c6RnO7w,1210,4.5,Seafood,LA
_id_9cu2p2Z925hHkWHVyrp1JQ,1202,4,Asian Fusion,FL
_id_EQP8f7Rq5KXknJixlwxZEw,1192,4,American,FL
_id_Bxmhm659VqrQYHc0hiku5w,1182,4.5,Pizza,FL
_id_26jYcdFR5oLqKDKpTH0JIQ,1178,4,Seafood,LA
_id_CgiwCrXs3Ggu9eKFPIgjtA,1175,4,Seafood,FL
_id_uZYBF0YTU_iKq4_L_PDtMQ,1168,4,Mediterranean,CA
_id_H26zRyQkXXYzUZUOtppFcA,1166,4.5,American,FL
_id_jMZ56S8Y1t7cA1Ob-d-qeA,1165,4,American,LA
_id_8kh6Z3c8UHQKmsy0_TbOnA,1164,4.5,American,LA
_id_uYMVRPYEqpmVXWN2xOs5KQ,1154,4,American,FL
_id_gzMlFR9ViVCr_HUYPgqqVg,1151,4,American,LA
_id_5oX4G1cptixPZecih9L3dg,1147,4,American,FL
_id_9f5GXEeTvBWnrZ-AHEjgJQ,1144,4,Seafood,FL
_id_EYw42-YsnMr0pbqM5YXRxw,1141,4.5,American,FL
_id_E7RtIisUoRMcADSebBgNAA,1140,3.5,Seafood,CA
_id__78Lam9Jd0W6ZmnHTvdjMg,1119,4.5,Bars,FL
_id__0QZGrg91aaiMhh7tQyYYg,1115,3.5,American,FL
_id__zzNQl6ImFw_B64cSdaoGA,1108,4,American,FL
_id_SYHDOHRNAH-2xsw3XB5qbg,1108,4.5,American,CA
_id_Ss6f5v_t5Vddiaz4ZOxL0g,1106,4,Bakeries,CA
_id_AlH5V97JSAu7AL_xdibMIg,1099,3.5,American,FL
_id_KP5OncF2jhT7_J1phHPPww,1092,4,Mexican,FL
_id_UnQriKTiNsYnyPE3Rt8lTQ,1087,4,Seafood,LA
_id_4gszBjoouIzfi1ltSQZ2BQ,1086,4,American,FL
_id_6EizP0XyqITuGZ8GZMI9Lw,1084,4.5,American,CA
_id_JvawJ9bSr22xn4R9oLvl_w,1084,4,Seafood,LA
_id_Meww6RIE4cFL_kG0aRlbAA,1077,4.5,Bars,LA
_id_CziOtnFSklimJnBgksDDwA,1069,3.5,Italian,CA
_id_I6L0Zxi5Ww0zEWSAVgngeQ,1066,3.5,Sandwitches,LA
_id_zT2OzXDWKK1abapHs2RUrQ,1060,4.5,American,FL
_id_uR7G8I4Cef9D9R340TN24Q,1059,4,American,LA
_id_KlZvP_k_VEJV0G-6tTqnqQ,1053,3.5,Seafood,LA
_id_EZc2myE2mYk2h9JK9qu8gw,1047,4.5,American,CA
_id_eCikDKFbaeYVNdCD2beX0Q,1038,4,American,LA
_id_0qu0fNTOsSmuREYVIMPuIQ,1018,4.5,American,CA
_id_5fSPNlVUBGMExOy9lgFn0A,1017,4,American,FL
_id_c0F9yKr0bJuQDtG1lzDgmQ,1013,4.5,American,FL
_id_cmvseNCdevDdxbxlz3KkWw,1008,4.5,American,FL
_id_3db1R99-mdSvx3QwryJSNQ,1007,4,American,LA
_id_OCzo8T-76iJ_QVB2UX5SEQ,1006,4,American,LA
_id_9OCsSHr6OCSyR91BFIbszQ,997,3.5,Seafood,LA
_id_ezB8e2rijjViprrcTdIiQQ,995,4,Seafood,FL
_id_RRCgIohWjaeGtlbpcYJBbw,992,4.5,American,FL
_id_nYPzsOjvida-ne7swSPHpA,990,4.5,American,CA
_id_8Vo6LN9gqULhXzoxj5k6kQ,983,4.5,American,CA
_id_g-IXI3v3fOudMsyLPKb-eQ,983,4,American,LA
_id_BHnCAV4_hgqgNZGdfXNJkA,981,4,Seafood,LA
_id_U2hkeMI-q4cS35QolJYN0A,980,4,Asian Fusion,CA
_id_V2xSuNLZb6QAb7GdNkI3rg,969,4.5,Breakfast,FL
_id_Z4PF4EtM12L7nwOHZHFJNA,967,4,American,LA
_id_ZfOS7Mz-iGseNxBhlhXm_w,965,3.5,American,FL
_id_k-tHn9uxgWdq1ROHqwc-lw,965,4.5,Seafood,FL
_id_NIQWO-Q_F598XlAvZnFVCA,961,4,American,CA
_id_z_7TZeTXsDH6MmkPHQN8nQ,961,4,American,FL
_id_CoZ2mpsMBP8HUG1ymKoZTg,954,4,American,CA
_id_QA8QLpwf_YT9C2ST5YJ0vw,954,3.5,Cajun,LA
_id_b7V_5q22_eTeHlYzq1bpFw,954,4,Seafood,LA
_id_C26xmwM2_OgJJi2BbL3KkQ,954,4,Seafood,LA
_id_oFbwMxqaCJfIzAEmwaXD3Q,944,4,Mexican,LA
_id_yoQBK3OUDqWEFoUDE5lM4w,938,3,Cajun,LA
_id__MWbuRiTqbWEjlfxRAvzWQ,936,4.5,Pizza,FL
_id_ECOUuwE5H1HHE8xBfNAjFg,929,3.5,American,LA
_id_GSOLNXG5-IPvNj0DPf3kOQ,920,4.5,Italian,LA
_id_KSYONgGtrK0nKXfroB-bwg,914,4.5,Seafood,CA
_id_5SbXk54zWe22jg95R-8Fjw,908,4.5,American,FL
_id_hXvf5a798WvQtFn0Zbh2yw,908,3.5,American,FL
_id_UnBs9SfFGQ7TpE_3uYIqfg,908,4,Seafood,FL
_id_H5Rk-aunuEzGANXCBu-NPQ,907,4,Mexican,FL
_id_3wo9jODQnuvBm8Gkem6qXg,904,4,American,LA
_id_TNTBObKmICMn13T0pyAGyg,904,4,Italian,FL
_id__LgI5387qAmMuS8i6h69cg,900,4,American,LA
_id_thlyktt2c7v1DyOpSVSibw,897,4,American,CA
_id_8eDkw7CE0NKqMknPIu26fw,888,4.5,American,LA
_id_mRpk0A4u0hnF0lNe1h4hGg,886,4.5,Vegan,LA
_id_1FURjeGJi_LBXcJQg8eskw,885,4.5,American,CA
_id_FkmUQqJCjgAYSlckQL0umw,881,4,American,LA
_id_ZTctPm8-lBy0iJ9dFhYhyQ,879,4,Seafood,LA
_id_yb2vAoH3E-R11yWmnT570w,875,3.5,Mexican,FL
_id_Cbktlvci_z4HwdqPUW-5cg,873,3,Seafood,LA
_id_jar_5KMQZtgOseRdUN3L0w,872,4,Bakeries,LA
_id_MJI-bNIn3QDgiGggm9Wp1w,871,3,American,CA
_id_yE6aDcbbK8pmvNroXnQYQA,866,4.5,Sandwitches,LA
_id_6-ixjryKFrCgue3JaHnvXQ,864,4.5,American,FL
_id_e1WJ1qcgF2TBkoYzopeTgQ,863,4,Italian,LA
_id_tf6S06LD09IFDHUpOPqPaw,856,4.5,American,CA
_id_wIz_tZ88bj4W3VlrJTiiqQ,848,4,American,FL
_id_lqyYsXBAO6cVGR0cPCeydg,845,4,American,FL
_id_X0vPZIkbUj22afBQz5-neA,839,3.5,American,FL
_id_XF2SR4yNnIOGRGH9goofuA,834,3.5,American,FL
_id_9b-LZWsj75mmfMYuChXDkg,833,4,American,FL
_id_oCbJpGl8IkH1WdYa25TDBA,831,4,Seafood,LA
_id_5vObJIHLO-QOMrw_MvC4rA,828,4,American,CA
_id_cd-rz-piYMftZtbFU82x8g,825,4.5,American,FL
_id_Dzm1y59cLFt8OjTsZRUC6w,822,4,Seafood,FL
_id_60PRpOidld9weYzjWwlMaQ,819,4.5,American,LA
_id_swVdc9piXvG0AXwL-F0GfQ,819,4.5,American,LA